dataset_id,title,file,category,source,current_scope,desired_scope,status,rows,columns,size_bytes,notes,goal_relevant
national_codes,전국 시도/구시군 코드,data/raw/national_codes.json,code,NEC info.nec.go.kr,전국 구시군,전국 구시군,complete_for_current_goal,17.0,,19368.0,,True
vote_progress_national,시간대별 투표진행상황,data/raw/nec_vote_progress_national_2026.csv,turnout_progress,NEC VCVP01,전국 시도/구시군 시간대,전국 시도/구시군 시간대,complete_for_current_goal,3511.0,12.0,548513.0,투표소 단위가 아니라 구시군 단위로 보는 것이 안전함,True
vote_progress_default,시간대별 투표진행상황 기본 수집,data/raw/nec_vote_progress_2026.csv,turnout_progress,NEC VCVP01,전국+서울 기본 수집,전국 시도/구시군 시간대,partial,572.0,12.0,91919.0,초기 기본 수집 산출물. 전국 시간대 미러는 vote_progress_national 사용,False
prevote_national,전국 사전투표 진행상황 시간대,data/raw/nec_prevote_2026_national.csv,early_vote,NEC VCAP01,전국/시도별 날짜 1·2·누계 및 07-18시 시간대,전국/시도별 날짜 1·2·누계 및 07-18시 시간대,complete_for_current_goal,11134.0,12.0,2385604.0,2일차누계의 전체(time=0)는 NEC 화면에서 제공되지 않아 07-18시 누계만 보존,True
prevote,사전투표 진행상황,data/raw/nec_prevote_2026.csv,early_vote,NEC VCAP01,전국+서울 일부 날짜/시간,전국 시도/구시군 날짜/시간,partial,220.0,8.0,37418.0,현재 스크립트는 전국+서울 중심. 전국 전체 날짜/시간 샤딩 확장 필요,False
dong_turnout,읍면동 선거인수/선거일 투표수,data/raw/national_dong_turnout.csv,dong_turnout,NEC VCCP08,전국 구시군 읍면동,전국 구시군 읍면동,complete_for_current_goal,3558.0,10.0,241909.0,투표용지 50% 기준과 본투표 수요 분석의 핵심,True
candidate_results_all,전국 전체 선거종류 후보별 개표단위 득표,data/raw/nec_candidate_results_2026_national_all.csv,candidate_results,NEC VCCP08,전국 모든 선거종류,전국 모든 선거종류,complete_for_current_goal,317798.0,18.0,78529999.0,collect_nec_candidate_results_all.cjs 샤드 수집 후 merge_nec_candidate_results.py로 생성,True
candidate_results_smoke,전체 후보득표 수집기 smoke 검증,data/raw/nec_candidate_results_2026_smoke.csv,candidate_results,NEC VCCP08,송파구 3개 선거종류 smoke,송파구 3개 선거종류 smoke,complete_for_current_goal,759.0,18.0,191508.0,전국 전체 실행 전 수집기 선택/파싱 검증용,False
candidate_results_metro,전국 광역단체장 후보별 개표단위 득표,data/raw/vote_pattern_results_2026_national_metro.csv,candidate_results,NEC VCCP08,전국 광역단체장,전국 모든 선거종류,partial,38487.0,17.0,9731969.0,현재는 광역단체장만 완성. 전체 선거종류 확장 필요,False
candidate_results_shortage_targets,부족 발생 구시군 후보/표차 타깃 수집,data/raw/targeted_election_candidates_2026.csv,candidate_results,NEC VCCP08/EPEI01,부족 발생 구시군 중심,전국 모든 선거종류,partial,715.0,14.0,154339.0,부족 발생 구시군 표적 수집 산출물. 전체 후보득표 미러는 candidate_results_all 사용,False
